date,google_spend,google_impressions,google_clicks,meta_spend,meta_impressions,meta_clicks,meta_reach,meta_frequency,tiktok_spend,tiktok_impressions,tiktok_clicks,tiktok_conversion,tiktok_reach,dv360_spend,dv360_impressions,dv360_clicks,x1_impressions,x1_clicks,x1_spend,Quantity,dv_360_x1_impressions,dv_360_x1_clicks,dv_360_x1_spend,Total_Revenue,total_discount,Service Fee,competitor_trend,CCI,holidays,all_promo,seller_discount
2023-10-02,2331.241836,2638915,5207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,233447,212971,0,70,58.7,0,0,52565
2023-10-09,17116.632,19943662,36158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,2653006,1953792,0,82,58.7,0,1,540700
2023-10-16,22482.98146,23557490,49779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,242872,142956,0,69,58.7,0,0,53490
2023-10-23,22091.37032,23233344,52707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,792071,749162,0,70,58.7,0,0,231283
2023-10-30,21882.49776,21380427,48435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,337381,101091,0,69,58.7,0,0,71400
2023-11-06,16446.3319,17219591,29321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,2029702,1520745,0,78,60.2,0,1,596185
2023-11-13,16939.44358,15782762,21248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,512561,364304,0,75,60.2,0,0,166631
2023-11-20,16740.15726,16111143,21932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,348157,365349,0,86,60.2,0,0,62410
2023-11-27,20783.74707,18588453,28285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,226202,238676,0,70,60.2,0,0,54860
2023-12-04,17580.9465,16298902,23257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,213225,145913,0,71,60.9,0,0,35820
2023-12-11,14153.92372,14262895,13611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,2418427,1514347,0,84,60.9,0,1,879036
2023-12-18,13751.88082,14088988,13004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,211456,168522,0,83,60.9,0,0,73675
2023-12-25,13785.52098,13502084,12392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,383904,157223,0,89,60.9,0,0,71230
2024-01-01,11661.5089,10833345,11095,0,0,0,0,0,0,0,0,0,0,6.0521559,807,14,0,0,0,55,807,14,6.0521559,259045,269767,0,78,62,1,1,54810
2024-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,198295,185271,0,82,62,0,0,59450
2024-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,943419,871026,0,79,62,0,0,329410
2024-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,1230187,1226936,0,83,62,0,0,412246
2024-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,1849650,2205887,0,75,62,0,1,663610
2024-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,110967,151265,0,82,62.9,0,0,35691
2024-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,645992,1152256,0,82,62.9,1,0,963751
2024-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,391288,548540,0,77,62.9,0,0,172294
2024-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,1148971,951019,0,79,62.9,0,1,415709
2024-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,570276,504573,0,74,63.8,0,0,197055
2024-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,391774,776427,0,75,63.8,0,0,130546
2024-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,274156,181857,0,79,63.8,0,0,124898
2024-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,920023,1031398,0,80,63.8,0,0,310431
2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,1229968,1109452,0,87,63,1,1,551384
2024-04-08,4408,96568,7604,470.91,1684654,6479,1640934,10.26005,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,48210,1100,0,83,63,1,0,9708
2024-04-15,4993.19,119430,8853,644.02,2756808,11120,2694866,14.322066,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,376537,540638,0,86,63,1,0,124237
2024-04-22,5079.19,127727,10659,609.63,2457199,9681,2407560,16.349071,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,723985,499704,0,84,63,0,0,246728
2024-04-29,4868.45,137652,11485,598.92,2219807,7831,2186309,14.214796,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,1694892,1208716,0,94,63,2,1,554735
2024-05-06,5279.94,132848,11967,2672.01,935526,11541,632111,387.908618,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,417375,262989,0,87,62.1,1,0,30001
2024-05-13,4935.54,109143,8648,505.28,155650,3191,90638,283.397407,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,926689,931860,0,80,62.1,0,0,79135
2024-05-20,10936.37698,5812873,16712,16045.99,11834080,140319,9934504,915.876863,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,994551,1046254,0,83,62.1,0,0,54220
2024-05-27,11670.22494,6640868,18971,18273.19,13325994,189778,11708429,935.048375,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,591445,223300,0,78,62.1,0,0,75142
2024-06-03,11664.45985,6632348,17632,19088.81,14574957,215349,12461929,966.818596,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,3464509,2428544,0,93,60.5,0,1,847917
2024-06-10,11616.88743,6595444,17640,19157.38,16022260,247993,13647387,1020.252149,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,1130103,513782,0,81,60.5,0,0,264711
2024-06-17,11472.80182,6308905,17512,14297.33,12590030,196169,10843817,1111.593229,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,557483,206537,12458,75,60.5,0,0,147928
2024-06-24,11654.25682,6398830,17035,4382.36,4216525,69239,3477429,1021.515961,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,1333844,788105,54627,73,60.5,0,0,319348
2024-07-01,11156.96864,6657648,17105,4330.85,3926516,63609,3258983,1039.641093,0,0,0,0,0,9410.520826,1456358,1345,409,3,15.88900608,668,1456767,1348,9426.409832,3100867,2051552,125468,79,58.9,0,1,711734
2024-07-08,10596.3138,5802622,17461,7101.02,6013020,110060,4832741,1184.902487,0,0,0,0,0,65239.43652,9759161,7086,161919,85,35150.29321,106,9921080,7171,100389.7297,450902,394590,17597,75,58.9,0,0,109159
2024-07-15,10515.11747,5821463,16536,5032.37,5256789,95444,4461707,1119.433762,0,0,0,0,0,65674.46783,9526269,7726,17117,6,41173.53867,181,9543386,7732,106848.0065,901435,594511,36555,75,58.9,0,0,170585
2024-07-22,10390.33427,5523746,15526,4585.58,5125534,94970,4406829,976.562872,0,0,0,0,0,64967.42782,8490138,10281,29667,14,71010.46052,315,8519805,10295,135977.8883,1442421,1263702,62313,78,58.9,1,0,365730
2024-07-29,10268.67001,5512731,18649,5088.6,5128076,89089,4378065,1089.022,0,0,0,0,0,63582.55769,7835075,9988,25371,14,57378.69374,119,7860446,10002,120961.2514,517607,466391,22317,84,58.9,0,0,127725
2024-08-05,10023.93588,5837271,17664,5309.65,5623272,95574,4487735,1065.875013,0,0,0,0,0,63445.98997,7954844,13177,4936,2,10157.28669,379,7959780,13179,73603.27667,1774666,1118785,78158,86,57.7,0,1,153135
2024-08-12,10174.62762,5651419,16513,6890.62,5730818,100784,4712325,1022.599332,0,0,0,0,0,62471.4199,7177150,11324,0,0,0,174,7177150,11324,62471.4199,749322,534884,31205,77,57.7,0,0,34000
2024-08-19,10083.91253,5586183,15251,4944.41,5474462,99349,4573086,1005.554619,0,0,0,0,0,61138.82261,7976249,11466,0,0,0,124,7976249,11466,61138.82261,512334,431489,22426,82,57.7,0,0,50300
2024-08-26,9982.410404,5677836,15481,4754.16,4885822,89022,4136577,895.188946,0,0,0,0,0,61241.65203,7635234,10509,0,0,0,128,7635234,10509,61241.65203,624540,442482,25129,85,57.7,0,0,56173
2024-09-02,8185.757668,4058467,13267,4160.01,3838031,80846,3215224,904.280264,0,0,0,0,0,57106.45837,7548388,9682,0,0,0,82,7548388,9682,57106.45837,300654,84857,14212,85,56.5,0,0,11840
2024-09-09,4461.76,94122,7733,7045.32,5462138,88338,3935764,875.563011,0,0,0,0,0,46454.29374,6074062,8172,0,0,0,710,6074062,8172,46454.29374,3179615,2442725,149677,89,56.5,0,1,216424
2024-09-16,4274.52,91903,7295,3457.16,2642824,60188,2097176,805.73503,0,0,0,0,0,46003.13661,6472721,7981,0,0,0,107,6472721,7981,46003.13661,463544,281527,15713,80,56.5,0,0,18540
